Datum;Zeitfenster;VerbauchHaushalte;VerbrauchGewerbe;EinspeisungPV;EinspeisungWind
01.01.20XX;00:00 - 00:15;8,49;17,91;0;30,98
01.01.20XX;00:15 - 00:30;7,75;17,83;0;30,98
01.01.20XX;00:30 - 00:45;7,11;17,28;0;30,98
01.01.20XX;00:45 - 01:00;6,54;16,73;0;30,98
01.01.20XX;01:00 - 01:15;6,06;16,15;0;30,98
01.01.20XX;01:15 - 01:30;5,67;15,64;0;30,98
01.01.20XX;01:30 - 01:45;5,35;15,15;0;30,98
01.01.20XX;01:45 - 02:00;5,11;14,76;0;30,98
01.01.20XX;02:00 - 02:15;4,94;14,18;0;30,98
01.01.20XX;02:15 - 02:30;4,87;13,88;0;30,98
01.01.20XX;02:30 - 02:45;4,78;13,52;0;30,98
01.01.20XX;02:45 - 03:00;4,73;13,38;0;30,98
01.01.20XX;03:00 - 03:15;4,7;13,33;0;30,98
01.01.20XX;03:15 - 03:30;4,63;13,24;0;30,98
01.01.20XX;03:30 - 03:45;4,6;13,41;0;30,98
01.01.20XX;03:45 - 04:00;4,57;13,59;0;30,98
01.01.20XX;04:00 - 04:15;4,55;13,96;0;30,98
01.01.20XX;04:15 - 04:30;4,59;14,54;0;30,98
01.01.20XX;04:30 - 04:45;4,59;15,13;0;30,98
01.01.20XX;04:45 - 05:00;4,65;15,68;0;30,98
01.01.20XX;05:00 - 05:15;4,72;16,26;0;30,98
01.01.20XX;05:15 - 05:30;4,92;16,53;0;30,98
01.01.20XX;05:30 - 05:45;5,32;16,78;0;30,98
01.01.20XX;05:45 - 06:00;6,01;17,05;0;30,98
01.01.20XX;06:00 - 06:15;7,03;17,6;0;30,98
01.01.20XX;06:15 - 06:30;8,31;18,23;0;30,98
01.01.20XX;06:30 - 06:45;9,62;19,36;0;30,98
01.01.20XX;06:45 - 07:00;10,83;20,65;0;30,98
01.01.20XX;07:00 - 07:15;11,79;22,23;0;30,98
01.01.20XX;07:15 - 07:30;12,51;24,09;0;30,98
01.01.20XX;07:30 - 07:45;13,1;26,2;0;30,98
01.01.20XX;07:45 - 08:00;13,57;29,01;0;30,98
01.01.20XX;08:00 - 08:15;14,01;32,38;0;30,98
01.01.20XX;08:15 - 08:30;14,4;36,72;0;30,98
01.01.20XX;08:30 - 08:45;14,72;41,3;0,23;30,98
01.01.20XX;08:45 - 09:00;14,96;45,35;0,94;30,98
01.01.20XX;09:00 - 09:15;15,09;48,79;1,73;30,98
01.01.20XX;09:15 - 09:30;15,17;50,7;2,58;30,98
01.01.20XX;09:30 - 09:45;15,2;51,7;3,5;30,98
01.01.20XX;09:45 - 10:00;15,24;51,92;4,45;30,98
01.01.20XX;10:00 - 10:15;15,31;52,15;5,42;30,98
01.01.20XX;10:15 - 10:30;15,43;52,41;6,4;30,98
01.01.20XX;10:30 - 10:45;15,57;52,8;7,36;30,98
01.01.20XX;10:45 - 11:00;15,77;53,34;8,29;30,98
01.01.20XX;11:00 - 11:15;16,01;54,07;9,18;30,98
01.01.20XX;11:15 - 11:30;16,28;54,57;9,99;30,98
01.01.20XX;11:30 - 11:45;16,59;54,99;10,73;30,98
01.01.20XX;11:45 - 12:00;16,96;55,06;11,37;30,98
01.01.20XX;12:00 - 12:15;17,34;54,71;11,9;30,98
01.01.20XX;12:15 - 12:30;17,69;53,75;12,31;30,98
01.01.20XX;12:30 - 12:45;17,9;52,23;12,59;30,98
01.01.20XX;12:45 - 13:00;17,9;50,49;12,74;30,98
01.01.20XX;13:00 - 13:15;17,65;48,54;12,75;30,98
01.01.20XX;13:15 - 13:30;17,16;46,55;12,62;30,98
01.01.20XX;13:30 - 13:45;16,58;44,66;12,36;30,98
01.01.20XX;13:45 - 14:00;15,96;42,88;11,96;30,98
01.01.20XX;14:00 - 14:15;15,38;41,56;11,43;30,98
01.01.20XX;14:15 - 14:30;14,88;40,54;10,78;30,98
01.01.20XX;14:30 - 14:45;14,44;40,02;10,03;30,98
01.01.20XX;14:45 - 15:00;14,02;39,81;9,18;30,98
01.01.20XX;15:00 - 15:15;13,65;40,05;8,25;30,98
01.01.20XX;15:15 - 15:30;13,34;40,58;7,25;30,98
01.01.20XX;15:30 - 15:45;13,08;41,33;6,21;30,98
01.01.20XX;15:45 - 16:00;12,9;42,19;5,14;30,98
01.01.20XX;16:00 - 16:15;12,78;42,73;4,05;30,98
01.01.20XX;16:15 - 16:30;12,84;42,89;2,97;30,98
01.01.20XX;16:30 - 16:45;13,06;42,91;1,91;30,98
01.01.20XX;16:45 - 17:00;13,55;42,93;0,9;30,98
